OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
100039,20-02-2025,C15910,South,Chair,Furniture,1,4994,4994,Completed,Raj
100040,15-05-2025,C02074,East,Mobile,Electronics,5,20696,103480,Completed,Amit
100041,21-01-2025,C18174,South,Table,Furniture,1,5486,5486,Cancelled,Raj
100042,14-03-2025,C03371,South,Chair,Furniture,3,4380,13140,Completed,Raj
100043,16-06-2025,C02485,East,Laptop,Electronics,4,48062,192248,Completed,Neha
100044,18-01-2025,C10011,North,Chair,Furniture,3,4121,12363,Completed,Amit
100045,12-05-2025,C06903,East,Mobile,Electronics,1,19026,19026,Completed,Amit
100046,30-03-2025,C18443,East,Chair,Furniture,4,1535,6140,Completed,Neha
100047,01-03-2025,C07406,East,Headphones,Accessories,2,3149,6298,Completed,Amit
100048,14-01-2025,C02667,East,Mobile,Electronics,4,19064,76256,Completed,Neha
100049,09-01-2025,C17818,West,Chair,Furniture,4,4097,16388,Completed,Neha
100050,31-03-2025,C03385,South,Chair,Furniture,1,4874,4874,Returned,Sneha
100051,22-02-2025,C16907,West,Chair,Furniture,3,1153,3459,Completed,Neha
100052,10-05-2025,C18078,West,Headphones,Accessories,4,2819,11276,Completed,Ravi
100053,25-03-2025,C04184,North,Headphones,Accessories,5,2324,11620,Completed,Neha
100054,02-04-2025,C15345,West,Chair,Furniture,4,1843,7372,Completed,Raj
100055,21-04-2025,C00598,South,Table,Furniture,5,6262,31310,Returned,Neha
100056,21-06-2025,C09838,West,Laptop,Electronics,4,50089,200356,Completed,Amit
100057,08-01-2025,C07496,East,Table,Furniture,2,7232,14464,Cancelled,Sneha
100058,24-06-2025,C18721,South,Laptop,Electronics,5,50026,250130,Completed,Ravi
100059,04-02-2025,C18099,East,Chair,Furniture,1,4703,4703,Completed,Neha
100060,22-03-2025,C13089,West,Mobile,Electronics,2,21811,43622,Returned,Neha
100061,13-06-2025,C10977,North,Headphones,Accessories,4,2089,8356,Completed,Sneha
100062,19-02-2025,C03177,West,Table,Furniture,5,8674,43370,Completed,Sneha
100063,14-04-2025,C14413,South,Headphones,Accessories,2,1731,3462,Completed,Sneha
100064,12-05-2025,C02899,West,Headphones,Accessories,1,173,173,Cancelled,Ravi
100065,02-01-2025,C17649,West,Headphones,Accessories,4,1127,4508,Completed,Ravi
100066,14-05-2025,C06944,East,Laptop,Electronics,1,50101,50101,Completed,Ravi
100067,23-02-2025,C06851,North,Mobile,Electronics,5,21957,109785,Completed,Raj
100068,16-04-2025,C15732,North,Chair,Furniture,5,2280,11400,Completed,Sneha
100069,04-01-2025,C15565,East,Table,Furniture,1,6810,6810,Cancelled,Sneha
100070,23-02-2025,C10652,West,Mobile,Electronics,3,19800,59400,Completed,Ravi
100071,26-05-2025,C01555,South,Headphones,Accessories,1,3950,3950,Returned,Neha
100072,13-02-2025,C11935,South,Laptop,Electronics,3,48353,145059,Completed,Neha
100073,11-06-2025,C00672,North,Headphones,Accessories,1,1062,1062,Completed,Sneha
100074,14-01-2025,C08275,North,Laptop,Electronics,1,48619,48619,Cancelled,Sneha
100075,05-04-2025,C12513,North,Headphones,Accessories,3,1744,5232,Completed,Raj
100076,17-02-2025,C19953,East,Mobile,Electronics,1,20621,20621,Returned,Ravi
100077,15-01-2025,C10670,East,Table,Furniture,1,6780,6780,Cancelled,Ravi
100078,09-02-2025,C01452,West,Table,Furniture,3,6249,18747,Completed,Raj
100079,23-03-2025,C05238,East,Laptop,Electronics,1,48502,48502,Cancelled,Sneha
100080,21-04-2025,C10318,West,Headphones,Accessories,1,1790,1790,Completed,Amit
100081,22-02-2025,C17464,West,Chair,Furniture,3,2351,7053,Completed,Ravi
100082,24-01-2025,C07986,West,Chair,Furniture,5,2827,14135,Returned,Raj
100083,03-06-2025,C09475,South,Headphones,Accessories,2,1339,2678,Completed,Raj
100084,04-05-2025,C00535,East,Table,Furniture,5,5737,28685,Completed,Raj
100085,10-02-2025,C15010,West,Table,Furniture,1,7925,7925,Returned,Ravi
100086,06-06-2025,C12041,West,Table,Furniture,2,6821,13642,Returned,Raj
100087,15-01-2025,C07762,North,Headphones,Accessories,5,1272,6360,Returned,Raj
100088,14-02-2025,C04667,West,Headphones,Accessories,2,2195,4390,Completed,Amit
100089,06-03-2025,C04674,South,Table,Furniture,3,6549,19647,Completed,Neha
100090,30-03-2025,C10646,East,Headphones,Accessories,5,2642,13210,Completed,Amit
100091,12-03-2025,C02163,West,Table,Furniture,3,7423,22269,Returned,Sneha
100092,09-01-2025,C10019,West,Headphones,Accessories,5,1843,9215,Completed,Amit
100093,29-03-2025,C03999,East,Headphones,Accessories,4,123,492,Returned,Sneha
100094,09-05-2025,C15090,West,Mobile,Electronics,4,18146,72584,Completed,Sneha
100095,16-05-2025,C03693,North,Headphones,Accessories,2,2972,5944,Completed,Neha
100096,04-03-2025,C07477,West,Mobile,Electronics,3,19838,59514,Completed,Sneha
100097,19-05-2025,C04060,East,Headphones,Accessories,5,2608,13040,Cancelled,Amit
100098,22-03-2025,C08523,East,Chair,Furniture,1,2942,2942,Completed,Neha
100099,16-05-2025,C13271,West,Headphones,Accessories,2,3091,6182,Cancelled,Ravi
100100,12-06-2025,C01528,South,Chair,Furniture,2,2763,5526,Cancelled,Ravi
100101,12-06-2025,C12376,South,Headphones,Accessories,4,2334,9336,Completed,Sneha
100102,02-02-2025,C07052,East,Mobile,Electronics,5,21601,108005,Completed,Amit
100103,03-05-2025,C16958,South,Headphones,Accessories,2,2429,4858,Completed,Ravi
100104,05-01-2025,C06147,South,Laptop,Electronics,1,49605,49605,Returned,Neha
100105,10-02-2025,C07551,South,Laptop,Electronics,2,50945,101890,Completed,Raj
100106,28-01-2025,C03696,North,Laptop,Electronics,2,51466,102932,Cancelled,Raj
100107,15-05-2025,C00524,South,Chair,Furniture,5,4317,21585,Completed,Neha
100108,13-03-2025,C09364,North,Chair,Furniture,4,4340,17360,Completed,Ravi
100109,12-01-2025,C10746,North,Table,Furniture,2,8923,17846,Returned,Raj
100110,11-06-2025,C12372,South,Mobile,Electronics,5,18731,93655,Cancelled,Raj
100111,02-02-2025,C09614,East,Headphones,Accessories,1,624,624,Completed,Amit
100112,17-02-2025,C10424,West,Laptop,Electronics,4,49769,199076,Completed,Sneha
100113,31-05-2025,C02217,South,Chair,Furniture,2,4871,9742,Completed,Amit
100114,03-03-2025,C10348,South,Headphones,Accessories,2,1837,3674,Cancelled,Sneha
100115,06-02-2025,C06337,East,Headphones,Accessories,5,3944,19720,Completed,Raj
100116,09-04-2025,C09044,North,Mobile,Electronics,1,21555,21555,Completed,Ravi
100117,21-06-2025,C15574,South,Chair,Furniture,1,1533,1533,Completed,Amit
100118,14-04-2025,C13407,East,Laptop,Electronics,1,50326,50326,Completed,Ravi
100119,04-02-2025,C09372,North,Table,Furniture,1,8566,8566,Returned,Sneha
100120,11-04-2025,C03596,East,Laptop,Electronics,4,49930,199720,Completed,Sneha
100121,24-06-2025,C10052,South,Headphones,Accessories,1,771,771,Cancelled,Raj
100122,11-05-2025,C00738,West,Chair,Furniture,4,3379,13516,Returned,Sneha
100123,01-01-2025,C11005,West,Laptop,Electronics,3,51192,153576,Completed,Raj
100124,05-01-2025,C10985,South,Table,Furniture,5,5578,27890,Completed,Amit
100125,22-05-2025,C19203,West,Mobile,Electronics,3,20036,60108,Cancelled,Ravi
100126,13-04-2025,C13087,South,Chair,Furniture,2,2892,5784,Completed,Amit
100127,27-01-2025,C13492,West,Laptop,Electronics,5,51039,255195,Returned,Raj
100128,17-05-2025,C05343,North,Headphones,Accessories,4,3493,13972,Completed,Neha
100129,15-01-2025,C18548,North,Headphones,Accessories,3,2942,8826,Completed,Raj
100130,31-03-2025,C13249,North,Chair,Furniture,3,3154,9462,Returned,Raj
100131,11-02-2025,C19461,East,Mobile,Electronics,4,19148,76592,Completed,Amit
100132,04-05-2025,C08719,East,Chair,Furniture,1,1801,1801,Completed,Amit
100133,28-06-2025,C00449,West,Table,Furniture,4,6982,27928,Completed,Ravi
100134,04-03-2025,C11413,South,Laptop,Electronics,5,50360,251800,Cancelled,Amit
100135,06-04-2025,C14437,South,Mobile,Electronics,2,21164,42328,Completed,Raj
100136,21-02-2025,C16327,North,Mobile,Electronics,2,20718,41436,Completed,Amit
100137,06-04-2025,C06874,South,Chair,Furniture,2,1679,3358,Completed,Neha
100138,12-05-2025,C06698,West,Headphones,Accessories,4,357,1428,Cancelled,Ravi
100139,31-05-2025,C04162,West,Mobile,Electronics,4,20944,83776,Cancelled,Amit
100140,23-05-2025,C07997,East,Laptop,Electronics,5,49944,249720,Completed,Amit
100141,20-06-2025,C10044,North,Table,Furniture,3,7410,22230,Returned,Sneha
100142,29-01-2025,C00120,North,Laptop,Electronics,4,48998,195992,Completed,Raj
100143,05-02-2025,C14581,South,Mobile,Electronics,1,19095,19095,Completed,Raj
100144,13-01-2025,C12575,South,Table,Furniture,2,5061,10122,Returned,Amit
100145,09-06-2025,C19232,West,Headphones,Accessories,5,3779,18895,Completed,Sneha
100146,12-03-2025,C18175,South,Chair,Furniture,4,3736,14944,Completed,Neha
100147,27-03-2025,C12706,East,Chair,Furniture,4,4088,16352,Returned,Raj
100148,28-01-2025,C19402,South,Table,Furniture,5,7679,38395,Completed,Amit
100149,07-03-2025,C16735,East,Chair,Furniture,3,4658,13974,Completed,Neha
100150,19-06-2025,C10395,East,Laptop,Electronics,4,50431,201724,Completed,Neha
100151,14-02-2025,C09745,East,Table,Furniture,3,8407,25221,Cancelled,Neha
100152,03-03-2025,C02251,North,Table,Furniture,1,5071,5071,Completed,Raj
100153,14-05-2025,C14197,East,Mobile,Electronics,3,21974,65922,Completed,Neha
100154,28-01-2025,C19622,East,Laptop,Electronics,5,48290,241450,Cancelled,Ravi
100155,28-01-2025,C11702,West,Mobile,Electronics,2,21656,43312,Completed,Raj
100156,18-04-2025,C13278,South,Table,Furniture,3,8834,26502,Returned,Amit
100157,13-02-2025,C14129,West,Laptop,Electronics,2,50600,101200,Completed,Amit
100158,25-03-2025,C15017,South,Table,Furniture,4,5282,21128,Completed,Ravi
100159,30-01-2025,C15382,West,Headphones,Accessories,1,2432,2432,Completed,Sneha
100160,16-03-2025,C12217,West,Chair,Furniture,1,4179,4179,Completed,Ravi
100161,08-05-2025,C16322,South,Mobile,Electronics,1,19383,19383,Cancelled,Sneha
100162,02-04-2025,C05395,South,Headphones,Accessories,2,30,60,Completed,Ravi
100163,09-05-2025,C11377,East,Laptop,Electronics,5,51523,257615,Completed,Raj
100164,01-05-2025,C18277,West,Table,Furniture,3,6421,19263,Completed,Ravi
100165,27-01-2025,C17282,North,Chair,Furniture,3,4352,13056,Returned,Ravi
100166,01-05-2025,C01739,East,Laptop,Electronics,4,49961,199844,Completed,Raj
100167,26-04-2025,C13857,East,Laptop,Electronics,4,51493,205972,Completed,Neha
100168,03-01-2025,C11195,East,Laptop,Electronics,1,50083,50083,Completed,Neha
100169,13-04-2025,C12934,South,Chair,Furniture,5,3663,18315,Completed,Amit
100170,04-06-2025,C11291,West,Chair,Furniture,4,3698,14792,Completed,Ravi
100171,17-05-2025,C02504,North,Laptop,Electronics,4,49119,196476,Completed,Ravi
100172,03-03-2025,C09663,South,Laptop,Electronics,2,50996,101992,Completed,Sneha
100173,14-06-2025,C19884,East,Mobile,Electronics,4,20250,81000,Completed,Raj
100174,20-02-2025,C11945,North,Mobile,Electronics,1,21034,21034,Completed,Neha
100175,21-06-2025,C11823,North,Chair,Furniture,2,3832,7664,Completed,Raj
100176,01-06-2025,C13253,North,Chair,Furniture,1,4416,4416,Completed,Sneha
100177,28-02-2025,C02562,West,Mobile,Electronics,5,21456,107280,Completed,Sneha
100178,28-04-2025,C04495,North,Chair,Furniture,5,2385,11925,Completed,Ravi
100179,09-06-2025,C16351,North,Headphones,Accessories,3,2547,7641,Returned,Raj
100180,06-04-2025,C19988,West,Laptop,Electronics,4,49738,198952,Completed,Amit
100181,29-06-2025,C16771,West,Laptop,Electronics,2,48272,96544,Returned,Sneha
100182,23-04-2025,C06762,East,Headphones,Accessories,4,1369,5476,Returned,Sneha
100183,03-03-2025,C03752,North,Mobile,Electronics,3,18399,55197,Completed,Ravi
100184,21-02-2025,C02701,East,Mobile,Electronics,5,20860,104300,Returned,Raj
100185,12-01-2025,C05845,East,Headphones,Accessories,3,2339,7017,Completed,Ravi
100186,08-02-2025,C08492,North,Headphones,Accessories,1,2160,2160,Completed,Ravi
100187,10-05-2025,C16416,West,Chair,Furniture,4,3161,12644,Completed,Raj
100188,11-05-2025,C18889,South,Table,Furniture,2,8744,17488,Cancelled,Amit
100189,23-04-2025,C08734,South,Mobile,Electronics,4,20654,82616,Completed,Raj
100190,11-04-2025,C19841,East,Mobile,Electronics,1,18873,18873,Completed,Sneha
100191,23-04-2025,C16931,West,Mobile,Electronics,5,20627,103135,Completed,Sneha
100192,22-03-2025,C17368,East,Headphones,Accessories,5,818,4090,Completed,Neha
100193,23-04-2025,C14760,North,Mobile,Electronics,4,21758,87032,Cancelled,Neha
100194,02-01-2025,C14268,East,Mobile,Electronics,3,20940,62820,Completed,Raj
100195,10-05-2025,C16881,South,Chair,Furniture,5,1731,8655,Completed,Neha
100196,23-02-2025,C18300,South,Headphones,Accessories,4,1469,5876,Completed,Raj
100197,28-03-2025,C12696,South,Headphones,Accessories,5,2170,10850,Completed,Sneha
100198,09-05-2025,C16873,South,Chair,Furniture,5,4537,22685,Completed,Sneha
100199,27-05-2025,C10258,East,Table,Furniture,2,7729,15458,Returned,Raj
100200,06-05-2025,C18105,East,Headphones,Accessories,1,2413,2413,Cancelled,Neha
100201,10-05-2025,C13384,South,Chair,Furniture,2,1760,3520,Cancelled,Sneha
100202,22-02-2025,C06779,West,Laptop,Electronics,5,51303,256515,Completed,Ravi
100203,21-06-2025,C00171,South,Chair,Furniture,1,1577,1577,Returned,Neha
100204,09-06-2025,C08592,South,Laptop,Electronics,1,50788,50788,Completed,Neha
100205,09-06-2025,C15246,North,Table,Furniture,2,8684,17368,Cancelled,Raj
100206,09-03-2025,C11785,West,Chair,Furniture,5,2986,14930,Completed,Ravi
100207,03-05-2025,C14067,North,Headphones,Accessories,1,254,254,Completed,Sneha
100208,25-05-2025,C17725,South,Headphones,Accessories,4,3170,12680,Completed,Neha
100209,07-02-2025,C04416,North,Laptop,Electronics,1,51303,51303,Completed,Sneha
100210,24-01-2025,C11814,East,Chair,Furniture,2,1223,2446,Completed,Raj
100211,10-03-2025,C06621,West,Table,Furniture,4,6028,24112,Completed,Amit
100212,26-04-2025,C13778,South,Mobile,Electronics,5,21798,108990,Returned,Ravi
100213,08-04-2025,C07923,South,Chair,Furniture,3,1121,3363,Completed,Sneha
100214,19-05-2025,C02090,West,Chair,Furniture,5,1579,7895,Completed,Ravi
100215,24-05-2025,C00234,North,Mobile,Electronics,2,19225,38450,Returned,Amit
100216,07-04-2025,C16940,East,Table,Furniture,5,6060,30300,Completed,Ravi
100217,04-05-2025,C10147,East,Chair,Furniture,4,4593,18372,Completed,Sneha
100218,11-03-2025,C03734,North,Mobile,Electronics,5,18590,92950,Completed,Raj
100219,03-04-2025,C03276,East,Mobile,Electronics,1,19782,19782,Returned,Raj
100220,03-01-2025,C15079,West,Mobile,Electronics,4,18513,74052,Completed,Amit
100221,28-05-2025,C07474,East,Table,Furniture,3,8142,24426,Completed,Ravi
100222,13-06-2025,C04947,North,Chair,Furniture,4,3836,15344,Cancelled,Neha
100223,27-05-2025,C17381,North,Table,Furniture,4,8624,34496,Completed,Raj
100224,31-03-2025,C00846,South,Table,Furniture,5,7509,37545,Completed,Neha
100225,27-05-2025,C06654,West,Headphones,Accessories,5,3423,17115,Cancelled,Neha
100226,28-05-2025,C01320,East,Chair,Furniture,3,2078,6234,Cancelled,Raj
100227,06-04-2025,C09903,South,Headphones,Accessories,2,1391,2782,Completed,Neha
100228,21-02-2025,C14333,South,Chair,Furniture,2,4566,9132,Completed,Sneha
100229,10-06-2025,C02891,South,Laptop,Electronics,1,49273,49273,Cancelled,Sneha
100230,17-06-2025,C02626,North,Chair,Furniture,5,1754,8770,Cancelled,Raj
100231,08-05-2025,C05514,West,Chair,Furniture,2,2212,4424,Returned,Sneha
100232,08-02-2025,C08645,West,Mobile,Electronics,3,20648,61944,Completed,Sneha
100233,23-03-2025,C01630,North,Chair,Furniture,5,3182,15910,Completed,Ravi
100234,14-04-2025,C10453,West,Table,Furniture,3,8543,25629,Returned,Amit
100235,09-05-2025,C19697,South,Table,Furniture,1,7896,7896,Returned,Sneha
100236,11-01-2025,C14745,West,Mobile,Electronics,1,18414,18414,Completed,Neha
100237,27-06-2025,C00559,East,Mobile,Electronics,4,18061,72244,Cancelled,Neha
100238,31-05-2025,C08071,North,Chair,Furniture,4,2808,11232,Cancelled,Sneha
100239,08-06-2025,C10908,South,Table,Furniture,4,8013,32052,Completed,Amit
100240,11-02-2025,C01069,South,Chair,Furniture,4,4041,16164,Completed,Ravi
100241,09-04-2025,C10947,North,Mobile,Electronics,3,19638,58914,Completed,Amit
100242,07-01-2025,C09453,East,Headphones,Accessories,1,396,396,Returned,Amit
100243,24-05-2025,C10963,South,Headphones,Accessories,3,1377,4131,Returned,Sneha
100244,31-03-2025,C15473,South,Table,Furniture,3,7049,21147,Completed,Ravi
100245,22-04-2025,C05899,West,Headphones,Accessories,1,1232,1232,Completed,Amit
100246,01-03-2025,C07811,North,Chair,Furniture,3,4686,14058,Completed,Sneha
100247,23-04-2025,C07997,North,Headphones,Accessories,5,1512,7560,Returned,Ravi
100248,02-01-2025,C16834,North,Laptop,Electronics,2,50052,100104,Completed,Raj
100249,09-05-2025,C03640,North,Chair,Furniture,2,3571,7142,Completed,Ravi
100250,17-02-2025,C01914,South,Chair,Furniture,2,1819,3638,Completed,Sneha
100251,20-05-2025,C10990,West,Laptop,Electronics,3,48810,146430,Completed,Raj
100252,06-02-2025,C04634,East,Table,Furniture,3,8774,26322,Cancelled,Ravi
100253,09-06-2025,C05329,East,Table,Furniture,1,8047,8047,Completed,Sneha
100254,09-01-2025,C05410,East,Chair,Furniture,1,3806,3806,Completed,Sneha
100255,09-04-2025,C18930,West,Table,Furniture,2,8862,17724,Completed,Raj
100256,27-05-2025,C04812,West,Chair,Furniture,2,2935,5870,Returned,Raj
100257,17-02-2025,C05328,South,Chair,Furniture,1,1561,1561,Completed,Sneha
100258,11-05-2025,C03462,South,Mobile,Electronics,5,19285,96425,Cancelled,Amit
100259,28-05-2025,C07534,South,Headphones,Accessories,2,2003,4006,Completed,Ravi
100260,01-06-2025,C01460,South,Headphones,Accessories,2,3774,7548,Completed,Raj
100261,23-02-2025,C11411,North,Laptop,Electronics,4,51887,207548,Returned,Amit
100262,30-04-2025,C14332,West,Chair,Furniture,3,4505,13515,Cancelled,Sneha
100263,10-06-2025,C16841,East,Headphones,Accessories,4,3422,13688,Completed,Amit
100264,01-06-2025,C08169,East,Table,Furniture,3,5077,15231,Completed,Raj
100265,26-04-2025,C05531,West,Table,Furniture,3,5056,15168,Completed,Raj
100266,16-03-2025,C00645,North,Headphones,Accessories,4,573,2292,Completed,Neha
100267,23-04-2025,C10522,East,Chair,Furniture,1,1412,1412,Completed,Amit
100268,13-06-2025,C12702,West,Table,Furniture,5,7489,37445,Cancelled,Ravi
100269,15-06-2025,C07265,South,Headphones,Accessories,5,754,3770,Completed,Neha
100270,14-04-2025,C13749,East,Laptop,Electronics,3,48673,146019,Returned,Raj
100271,25-03-2025,C05748,South,Mobile,Electronics,2,18221,36442,Returned,Ravi
100272,22-04-2025,C02762,North,Headphones,Accessories,2,189,378,Cancelled,Neha
100273,09-04-2025,C14302,East,Headphones,Accessories,4,612,2448,Completed,Raj
100274,02-06-2025,C16854,East,Chair,Furniture,4,2155,8620,Cancelled,Ravi
100275,03-04-2025,C08501,West,Headphones,Accessories,4,279,1116,Completed,Raj
100276,26-05-2025,C06018,East,Headphones,Accessories,2,3433,6866,Completed,Sneha
100277,08-05-2025,C06848,East,Table,Furniture,4,7625,30500,Completed,Ravi
100278,20-04-2025,C08981,West,Mobile,Electronics,3,21693,65079,Completed,Ravi
100279,23-03-2025,C16675,East,Table,Furniture,2,6994,13988,Cancelled,Sneha
100280,23-02-2025,C00430,West,Laptop,Electronics,5,51429,257145,Completed,Raj
100281,12-06-2025,C00598,North,Laptop,Electronics,4,51738,206952,Completed,Amit
100282,18-06-2025,C08051,South,Table,Furniture,5,5637,28185,Completed,Raj
100283,10-06-2025,C04528,North,Headphones,Accessories,4,1991,7964,Completed,Amit
100284,09-03-2025,C01558,North,Headphones,Accessories,2,3734,7468,Returned,Neha
100285,02-02-2025,C00673,North,Laptop,Electronics,3,51449,154347,Cancelled,Raj
100286,22-05-2025,C02855,North,Chair,Furniture,5,2487,12435,Completed,Ravi
100287,21-01-2025,C17963,West,Laptop,Electronics,5,50346,251730,Returned,Raj
100288,17-02-2025,C17817,West,Laptop,Electronics,3,49056,147168,Returned,Ravi
100289,28-05-2025,C05522,East,Laptop,Electronics,2,50983,101966,Completed,Raj
100290,08-05-2025,C08233,East,Table,Furniture,1,5425,5425,Cancelled,Ravi
100291,16-05-2025,C04480,North,Chair,Furniture,4,3602,14408,Cancelled,Ravi
100292,15-05-2025,C19318,North,Table,Furniture,2,8118,16236,Completed,Amit
100293,25-05-2025,C17699,East,Table,Furniture,3,5566,16698,Completed,Amit
100294,08-05-2025,C18200,North,Table,Furniture,5,6523,32615,Completed,Neha
100295,02-02-2025,C04279,West,Laptop,Electronics,4,50972,203888,Completed,Sneha
100296,25-06-2025,C01896,West,Chair,Furniture,3,1378,4134,Returned,Raj
100297,25-04-2025,C17448,North,Mobile,Electronics,3,21107,63321,Cancelled,Ravi
100298,29-04-2025,C13911,West,Chair,Furniture,3,4527,13581,Completed,Sneha
100299,22-01-2025,C11489,East,Chair,Furniture,2,2203,4406,Completed,Neha
100300,07-06-2025,C05405,West,Table,Furniture,3,7798,23394,Cancelled,Amit
100301,07-02-2025,C08527,North,Chair,Furniture,5,2108,10540,Completed,Sneha
100302,19-04-2025,C12426,West,Chair,Furniture,2,3776,7552,Cancelled,Neha
100303,20-02-2025,C05594,North,Table,Furniture,1,6551,6551,Completed,Sneha
100304,08-01-2025,C12776,North,Mobile,Electronics,3,18525,55575,Completed,Sneha
100305,27-01-2025,C02677,West,Chair,Furniture,1,4879,4879,Completed,Raj
100306,27-01-2025,C05266,North,Table,Furniture,3,6621,19863,Completed,Neha
100307,21-01-2025,C14745,South,Laptop,Electronics,5,48363,241815,Completed,Ravi
100308,30-01-2025,C09726,West,Headphones,Accessories,4,2742,10968,Completed,Neha
100309,07-04-2025,C17493,South,Headphones,Accessories,5,1536,7680,Completed,Raj
100310,28-01-2025,C17971,East,Laptop,Electronics,3,51352,154056,Cancelled,Ravi
100311,21-04-2025,C03862,North,Mobile,Electronics,3,20041,60123,Completed,Ravi
100312,02-03-2025,C04955,South,Laptop,Electronics,3,50542,151626,Completed,Neha
100313,17-02-2025,C01113,North,Headphones,Accessories,1,3645,3645,Completed,Raj
100314,27-05-2025,C01113,North,Chair,Furniture,3,4738,14214,Completed,Sneha
100315,04-01-2025,C10459,East,Laptop,Electronics,3,49734,149202,Returned,Ravi
100316,04-02-2025,C19274,West,Laptop,Electronics,5,50383,251915,Completed,Raj
100317,18-02-2025,C16734,West,Laptop,Electronics,1,50930,50930,Completed,Amit
100318,17-01-2025,C03963,East,Chair,Furniture,4,4690,18760,Cancelled,Sneha
100319,21-06-2025,C18308,North,Mobile,Electronics,1,21825,21825,Completed,Sneha
100320,07-06-2025,C12693,East,Mobile,Electronics,3,19297,57891,Completed,Neha
100321,15-02-2025,C00043,West,Mobile,Electronics,4,21451,85804,Cancelled,Ravi
100322,27-04-2025,C11738,North,Laptop,Electronics,1,49603,49603,Completed,Ravi
100323,06-01-2025,C05878,West,Table,Furniture,1,8642,8642,Completed,Amit
100324,09-04-2025,C05975,East,Chair,Furniture,2,2681,5362,Completed,Raj
100325,04-05-2025,C15519,South,Chair,Furniture,1,3576,3576,Returned,Raj
100326,06-02-2025,C15492,South,Headphones,Accessories,1,1722,1722,Completed,Ravi
100327,24-01-2025,C15919,East,Chair,Furniture,2,2635,5270,Returned,Amit
100328,03-04-2025,C17236,North,Mobile,Electronics,2,21575,43150,Cancelled,Sneha
100329,15-02-2025,C13357,South,Mobile,Electronics,3,18123,54369,Completed,Ravi
100330,05-04-2025,C11585,South,Mobile,Electronics,1,21505,21505,Completed,Amit
